country_iso3,country,year,indicator_code,indicator,value,data_source,retrieval_date
CHN,China,2014,EG.ELC.LOSS.ZS,td_losses_pct,5.32872821712073,WorldBank_API_real_supplementary,2026-04-29
DEU,Germany,2024,EG.ELC.LOSS.ZS,td_losses_pct,5.11593344757408,WorldBank_API_real_supplementary,2026-04-29
DEU,Germany,2023,EG.ELC.LOSS.ZS,td_losses_pct,5.03515465508585,WorldBank_API_real_supplementary,2026-04-29
DEU,Germany,2022,EG.ELC.LOSS.ZS,td_losses_pct,4.54599627946503,WorldBank_API_real_supplementary,2026-04-29
DEU,Germany,2021,EG.ELC.LOSS.ZS,td_losses_pct,4.48415061428916,WorldBank_API_real_supplementary,2026-04-29
DEU,Germany,2020,EG.ELC.LOSS.ZS,td_losses_pct,4.68128216980444,WorldBank_API_real_supplementary,2026-04-29
DEU,Germany,2019,EG.ELC.LOSS.ZS,td_losses_pct,4.52681338634443,WorldBank_API_real_supplementary,2026-04-29
DEU,Germany,2018,EG.ELC.LOSS.ZS,td_losses_pct,4.16273724838712,WorldBank_API_real_supplementary,2026-04-29
DEU,Germany,2017,EG.ELC.LOSS.ZS,td_losses_pct,4.13386097781476,WorldBank_API_real_supplementary,2026-04-29
DEU,Germany,2016,EG.ELC.LOSS.ZS,td_losses_pct,3.96018750124914,WorldBank_API_real_supplementary,2026-04-29
DEU,Germany,2015,EG.ELC.LOSS.ZS,td_losses_pct,3.94950555984878,WorldBank_API_real_supplementary,2026-04-29
DEU,Germany,2014,EG.ELC.LOSS.ZS,td_losses_pct,3.84816328611068,WorldBank_API_real_supplementary,2026-04-29
IND,India,2023,EG.ELC.LOSS.ZS,td_losses_pct,14.1614354109371,WorldBank_API_real_supplementary,2026-04-29
IND,India,2022,EG.ELC.LOSS.ZS,td_losses_pct,14.9056434964792,WorldBank_API_real_supplementary,2026-04-29
IND,India,2021,EG.ELC.LOSS.ZS,td_losses_pct,16.6469287712518,WorldBank_API_real_supplementary,2026-04-29
IND,India,2020,EG.ELC.LOSS.ZS,td_losses_pct,17.7241293592232,WorldBank_API_real_supplementary,2026-04-29
IND,India,2019,EG.ELC.LOSS.ZS,td_losses_pct,16.4401872729006,WorldBank_API_real_supplementary,2026-04-29
IND,India,2018,EG.ELC.LOSS.ZS,td_losses_pct,16.7930129549492,WorldBank_API_real_supplementary,2026-04-29
