year_month,fy,year,month,hs_code,segment,flow,total_trade_usd_million,hhi_country_concentration,top1_country_share_pct,top3_country_share_pct,num_partner_countries,data_source,retrieval_date
2020-11,2020-21,2020,11,8541,Devices,Export,12.28,1939.6,33.47,66.37,45,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-11,2020-21,2020,11,8542,ICs,Export,24.65,2738.5,45.96,77.28,32,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-12,2020-21,2020,12,3818,Raw_Materials,Export,0.02,5000.0,50.0,100.0,2,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-12,2020-21,2020,12,8486,Equipment,Export,1.44,3989.2,55.56,93.06,9,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-12,2020-21,2020,12,8541,Devices,Export,15.55,4141.3,62.83,78.84,42,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2020-12,2020-21,2020,12,8542,ICs,Export,24.23,2431.1,33.88,76.72,35,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-01,2020-21,2021,1,3818,Raw_Materials,Export,0.06,3888.9,50.0,100.0,3,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-01,2020-21,2021,1,8486,Equipment,Export,1.34,4047.7,52.24,93.28,10,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-01,2020-21,2021,1,8541,Devices,Export,24.49,5198.0,71.42,83.46,48,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-01,2020-21,2021,1,8542,ICs,Export,25.3,2009.7,32.61,72.57,34,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-02,2020-21,2021,2,3818,Raw_Materials,Export,0.01,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-02,2020-21,2021,2,8486,Equipment,Export,1.92,3307.8,53.12,80.73,14,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-02,2020-21,2021,2,8541,Devices,Export,20.6,6013.8,77.14,86.26,47,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-02,2020-21,2021,2,8542,ICs,Export,32.7,2269.6,34.22,76.15,36,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-03,2020-21,2021,3,3818,Raw_Materials,Export,0.01,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-03,2020-21,2021,3,8486,Equipment,Export,2.05,4480.4,62.44,90.73,15,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-03,2020-21,2021,3,8541,Devices,Export,19.83,5139.2,70.95,84.27,49,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-03,2020-21,2021,3,8542,ICs,Export,23.8,1991.1,35.71,67.48,38,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-04,2021-22,2021,4,3818,Raw_Materials,Export,0.1,8200.0,90.0,100.0,2,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-04,2021-22,2021,4,8486,Equipment,Export,3.72,3106.0,39.52,89.25,10,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-04,2021-22,2021,4,8541,Devices,Export,23.77,6417.1,79.89,86.29,42,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-04,2021-22,2021,4,8542,ICs,Export,33.55,2155.7,41.34,63.4,34,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-05,2021-22,2021,5,3818,Raw_Materials,Export,0.01,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-05,2021-22,2021,5,8486,Equipment,Export,1.8,4261.7,63.33,83.33,12,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-05,2021-22,2021,5,8541,Devices,Export,30.25,6991.7,83.4,90.25,41,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-05,2021-22,2021,5,8542,ICs,Export,55.54,2307.1,38.76,76.27,35,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-06,2021-22,2021,6,3818,Raw_Materials,Export,0.03,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-06,2021-22,2021,6,8486,Equipment,Export,1.85,4025.4,58.92,87.57,11,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2021-06,2021-22,2021,6,8541,Devices,Export,23.06,5339.2,72.64,81.48,48,DGFT_TRADESTAT_MEIDB_real,2026-05-09
